mid,x,y,z,xxx,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,sgz
-1,-100,-100,-100,"-1,-1,-1",0,0,-128,0,0,0,77,82,6553,0,82,55.48,0,-2.00,-6.00,-999.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-128,0,0,0,77,82,6553,0,82,55.49,0,-2.00,-2.00,-1001.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-128,0,0,0,79,81,6553,0,82,55.51,0,-2.00,-3.00,-997.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-128,0,0,0,79,81,6553,0,82,55.51,0,-3.00,-3.00,-999.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-128,0,0,0,79,81,6553,0,82,55.51,0,0.00,-8.00,-997.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-128,0,0,0,79,81,6553,0,82,55.51,0,-7.00,-4.00,-993.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-128,0,0,0,79,81,6553,0,82,55.51,0,-32.00,-42.00,-1006.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,79,81,6553,0,82,55.51,0,0.00,7.00,-1016.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,79,81,10,0,82,55.51,0,-12.00,2.00,-1180.00,
-1,-100,-100,-100,"-1,-1,-1",-1,0,-127,0,0,-1,79,81,10,0,82,55.51,0,6.00,-10.00,-1346.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-128,0,0,-4,79,81,13,0,82,55.51,0,-2.00,0.00,-1239.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-128,0,0,-7,79,81,21,0,82,55.71,0,0.00,-23.00,-1089.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,-8,79,82,28,10,82,55.88,0,-12.00,-23.00,-1004.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,-8,79,82,38,20,82,55.94,1,-7.00,6.00,-976.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,-8,79,82,43,30,82,55.99,1,4.00,-1.00,-926.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,-7,79,82,51,30,82,56.07,1,4.00,-13.00,-903.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,-6,79,82,57,40,82,56.17,1,-1.00,-5.00,-878.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,-5,79,82,62,50,82,56.22,1,19.00,-11.00,-882.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,-4,79,82,66,50,82,56.23,1,-13.00,7.00,-903.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,-2,79,82,69,50,82,56.31,1,-1.00,-1.00,-913.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,-2,79,82,72,60,82,56.32,1,-7.00,-12.00,-922.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,79,82,73,60,82,56.38,1,-24.00,-1.00,-959.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,80,82,75,60,82,56.37,2,1.00,-16.00,-974.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,80,82,76,60,82,56.37,2,15.00,-19.00,-977.00,
